neighbourhood,CountyName,zillow_price_january,zillow_price_february,zillow_price_march,zillow_price_april,zillow_price_may,zillow_price_june,zillow_price_july,zillow_price_august,zillow_price_september,zillow_price_october,zillow_price_november,zillow_price_december,nypd_precinct,borough,airbnb_count_december,airbnb_count_november,airbnb_count_october,airbnb_count_september,airbnb_count_august,airbnb_count_july,airbnb_count_june,airbnb_count_may,airbnb_count_april,airbnb_count_march,airbnb_count_february,airbnb_count_january,misdemeanor_count_december,misdemeanor_count_november,misdemeanor_count_october,misdemeanor_count_september,misdemeanor_count_august,misdemeanor_count_july,misdemeanor_count_june,misdemeanor_count_may,misdemeanor_count_april,misdemeanor_count_march,misdemeanor_count_february,misdemeanor_count_january,felony_count_december,felony_count_november,felony_count_october,felony_count_september,felony_count_august,felony_count_july,felony_count_june,felony_count_may,felony_count_april,felony_count_march,felony_count_february,felony_count_january,violation_count_december,violation_count_november,violation_count_october,violation_count_september,violation_count_august,violation_count_july,violation_count_june,violation_count_may,violation_count_april,violation_count_march,violation_count_february,violation_count_january
FORT HAMILTON,Kings County,459187,456668,456147,460337,462457,462407,459983,458598,456571,454215,452650,451431,68,Brooklyn,57,0,1,1,1,1,1,1,0,0,0,0,73,96,103,108,75,110,76,105,126,150,109,103,39,44,57,66,60,62,63,57,72,85,74,81,2,2,3,3,0,4,7,5,5,2,7,3
CANARSIE,Kings County,528928,531281,531709,533956,535261,537525,539125,540584,543232,542773,542957,542552,69,Brooklyn,172,97,98,88,81,88,85,76,83,84,133,124,63,58,54,63,73,65,81,88,51,77,65,78,47,36,48,53,69,61,48,67,73,44,54,57,1,2,8,2,5,5,2,2,3,7,7,4
MIDWOOD,Kings County,808526,812566,815738,818026,818126,818332,819530,820373,820457,819150,817461,815635,70,Brooklyn,117,66,64,70,64,63,63,66,61,64,116,114,111,103,123,129,119,153,127,159,172,174,156,169,94,126,103,97,88,114,79,121,99,95,102,129,2,6,4,4,6,3,5,2,4,5,7,2
OCEAN PARKWAY,Kings County,616126,618671,619109,619932,619206,621048,623748,626952,627874,627162,625847,624114,70,Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,111,103,123,129,119,153,127,159,172,174,156,169,94,126,103,97,88,114,79,121,99,95,102,129,2,6,4,4,6,3,5,2,4,5,7,2
PROSPECT PARK SOUTH,Kings County,2351450,2370828,2368359,2353719,2325600,2320955,2321407,2319524,2314596,2314047,2314920,2317985,70,Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,111,103,123,129,119,153,127,159,172,174,156,169,94,126,103,97,88,114,79,121,99,95,102,129,2,6,4,4,6,3,5,2,4,5,7,2
PROSPECT LEFFERTS GARDENS,Kings County,997521,1012082,1025260,1035433,1041612,1042819,1037693,1030470,1029291,1032349,1034922,1032301,71,Brooklyn,535,157,166,159,162,166,154,163,168,171,424,435,103,97,98,85,110,94,100,126,138,125,111,139,87,88,88,80,119,124,98,104,111,97,76,126,2,2,2,0,5,4,4,7,8,5,5,2
WINGATE,Kings County,532287,532667,534893,539476,545900,551447,559156,564339,572192,578245,582841,587762,71,Brooklyn,0,0,0,0,0,0,0,0,0,0,0,0,103,97,98,85,110,94,100,126,138,125,111,139,87,88,88,80,119,124,98,104,111,97,76,126,2,2,2,0,5,4,4,7,8,5,5,2
SUNSET PARK,Kings County,586972,588807,590073,590536,591757,592296,592046,589563,588713,588096,587925,587629,72,Brooklyn,433,173,178,152,135,147,145,138,137,131,283,296,102,119,148,124,140,152,171,169,170,200,164,152,79,90,70,82,188,98,94,98,110,78,78,105,9,8,14,12,20,16,11,16,6,17,6,6
WINDSOR TERRACE,Kings County,784603,791449,796703,804672,806222,805541,802760,797621,792063,788740,785913,785633,72,Brooklyn,152,57,58,59,61,58,62,60,57,59,160,164,102,119,148,124,140,152,171,169,170,200,164,152,79,90,70,82,188,98,94,98,110,78,78,105,9,8,14,12,20,16,11,16,6,17,6,6
BROWNSVILLE,Kings County,454795,455667,460126,465470,468994,470754,470717,471680,470142,468769,468593,469057,73,Brooklyn,77,13,16,14,15,13,13,14,11,11,34,34,122,191,179,155,216,211,163,210,230,193,204,229,117,141,185,157,182,171,136,193,140,168,174,210,7,10,6,5,6,10,14,14,10,14,5,17
